job_id,job_title,salary_year_avg,company_name,skills,skill_type,job_location
36333,Data Analytics- USDS,204584.5,TikTok,postgresql,databases,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,mongodb,databases,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,cassandra,databases,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,spark,libraries,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,pandas,libraries,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,hadoop,libraries,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,kafka,libraries,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,express,webframeworks,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,tableau,analyst_tools,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,power bi,analyst_tools,"Los Angeles, CA"
36333,Data Analytics- USDS,204584.5,TikTok,flow,other,"Los Angeles, CA"
115536,"Lead Data Analyst, Influence Operations - USDS",172118.5,TikTok,sql,programming,"Los Angeles, CA"
115536,"Lead Data Analyst, Influence Operations - USDS",172118.5,TikTok,express,webframeworks,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,sql,programming,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,python,programming,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,r,programming,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,go,programming,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,airflow,libraries,"Los Angeles, CA"
1352755,Lead Data Analyst,160000,MediaAlpha,excel,analyst_tools,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,sql,programming,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,sql server,databases,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,oracle,cloud,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,excel,analyst_tools,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,tableau,analyst_tools,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,ssis,analyst_tools,"Los Angeles, CA"
1342278,Data System Analyst,158950,UCLA Health,ssrs,analyst_tools,"Los Angeles, CA"
1215520,"Live Subscription, Data Analyst- USDS",158175,TikTok,sql,programming,"Los Angeles, CA"
1215520,"Live Subscription, Data Analyst- USDS",158175,TikTok,python,programming,"Los Angeles, CA"
1215520,"Live Subscription, Data Analyst- USDS",158175,TikTok,express,webframeworks,"Los Angeles, CA"
1215520,"Live Subscription, Data Analyst- USDS",158175,TikTok,tableau,analyst_tools,"Los Angeles, CA"
1215520,"Live Subscription, Data Analyst- USDS",158175,TikTok,power bi,analyst_tools,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,sql,programming,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,python,programming,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,r,programming,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,excel,analyst_tools,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,tableau,analyst_tools,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,power bi,analyst_tools,"Los Angeles, CA"
594288,Data Analyst,150000,AMIRI,looker,analyst_tools,"Los Angeles, CA"
52466,"Data Analyst / Sr Data Analyst, LIVE - USDS",149508.5,TikTok,sql,programming,"Los Angeles, CA"
52466,"Data Analyst / Sr Data Analyst, LIVE - USDS",149508.5,TikTok,express,webframeworks,"Los Angeles, CA"
69687,Sr/Lead Data Analyst LIVE - USDS,149508.5,TikTok,sql,programming,"Los Angeles, CA"
69687,Sr/Lead Data Analyst LIVE - USDS,149508.5,TikTok,python,programming,"Los Angeles, CA"
69687,Sr/Lead Data Analyst LIVE - USDS,149508.5,TikTok,express,webframeworks,"Los Angeles, CA"
